Team,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS,Season
India,5,0,3,0,2,0,24.51,4.67,5,235,172,1984/85
India,6,3,2,0,1,1.5,34.54,5.08,6,260,193,1986/87
India,2,1,1,0,0,1,34.87,5.58,2,289,269,1987/88
India,1,1,0,0,0,-,35.57,5.27,1,249,-,1989/90
India,1,0,1,0,0,0,24.2,5.04,1,242,242,1995/96
India,2,2,0,0,0,-,36.07,5.1,2,289,-,1996/97
India,3,2,1,0,0,2,39.94,5.27,3,309,227,1997/98
India,5,2,3,0,0,0.666,31.9,5.6,5,315,245,2000/01
India,4,1,3,0,0,0.333,29.57,5.18,4,286,198,2003/04
India,1,0,1,0,0,0,31.12,4.98,1,249,-,2006/07
India,7,2,4,0,1,0.5,28.14,4.96,7,299,148,2007/08
India,6,2,4,0,0,0.5,32.95,5.51,6,354,170,2009/10
India,2,2,0,0,0,-,55.3,5.73,2,292,-,2010/11
India,6,3,2,0,1,1.5,55.26,6.71,6,383,232,2013/14
India,5,4,1,0,0,4,41.9,5.74,5,313,252,2017/18
Australia,7,4,2,0,1,2,40.1,5.81,7,317,193,2007/08
Australia,6,4,2,0,0,2,37.75,5.34,6,350,250,2009/10
Australia,5,3,0,0,2,-,40.88,4.97,4,236,-,1984/85
Australia,5,3,2,0,0,1.5,40.37,5.8,5,338,181,2000/01
Australia,4,3,1,0,0,3,46.41,5.57,4,347,-,2003/04
Australia,6,2,3,0,1,0.666,38.85,4.94,6,263,141,1986/87
Australia,6,2,3,0,1,0.666,45.06,6.57,6,359,326,2013/14
Australia,2,1,1,0,0,1,31.43,5.08,2,270,233,1987/88
Australia,1,1,0,0,0,-,25.8,5.16,1,258,258,1995/96
Australia,3,1,2,0,0,0.5,28.84,4.98,3,268,268,1997/98
Australia,1,1,0,0,0,-,63.0,5.51,1,252,-,2006/07
Australia,5,1,4,0,0,0.25,30.97,5.64,5,334,202,2017/18
Australia,1,0,1,0,0,0,30.87,4.94,1,247,-,1989/90
Australia,2,0,2,0,0,0,29.35,5.03,2,284,284,1996/97
Australia,2,0,2,0,0,0,61.0,5.49,2,289,-,2010/11
